臺北市 內湖區 投開票所,其他,高嘉瑜,李彥秀
五分里_3_8_11_12_13,0.17721518987341772,0.7088607594936709,0.6538629419467482
東湖里_1_2_3_4,0.19541692062996835,0.7416232315711094,0.6583307735976803
東湖里_5_6_7_8,0.25560932487605714,0.692111402741324,0.7491319444444444
東湖里_9_10_11_12,0.19413797417720005,0.7478532396565184,0.6752625188772176
東湖里_13_14_15_16,0.19499404330865006,0.7010500128477657,0.7443820224719101
東湖里_17_18_19_20,0.17211189408498825,0.7877428998505231,0.7844330557335042
樂康里_1_2_3_4_26,0.22199213087595773,0.6676330503209774,0.7272727272727273
樂康里_5_6_7_8,0.16894264907126522,0.7227958697378872,0.693187364230552
樂康里_9_10_11_12_13,0.21360709763741348,0.7165547184382324,0.7495667244367418
樂康里_14_15_16_17_18_19_20,0.1748057069945482,0.7405405405405405,0.6086416888991996
樂康里_21_22_23_24_25,0.24832445785328122,0.7351192284069357,0.7430025445292621
內溝里_12_13_14_15,0.2167843155927482,0.7273417691382861,0.7800183318056828
內溝里_6_8_16,0.17662529656520856,0.6599186904634167,0.7433789954337899
內溝里_1_11_17,0.21156982003427918,0.6107170062845172,0.7764830508474576
內溝里_2_3_4_5_7_9_10,0.12125220458553791,0.6944444444444444,0.49327601410934746
週美里_1_2_3_4,0.21647555163964474,0.7290132547864506,0.6303258709507302
週美里_5_6_7_8_9_10,0.1653978244018132,0.6715722008039139,0.7471418964357768
週美里_11_12_13_14_15_16,0.1998155219014115,0.7436612467287314,0.745398773006135
週美里_17_18_19_20_21_22_23,0.1598592227782532,0.5869458030365715,0.759927797833935
週美里_24_25_26_27_28_29_30,0.16946210727533703,0.5549287315706459,0.7410983705491853
